URL,Last crawled,Status
https://ark-fid.ch/pt/ressources/articles/preparer-pme-independants-tva-2026/,2026-02-08,Pending
https://ark-fid.ch/es/ressources/articles/optimiser-fiscalite-geneve-2025-preparer-2026/,2026-02-06,Pending
https://ark-fid.ch/en/ressources/articles/tva-2025-geneve-impact-pme-revision-fiscale/,2026-02-06,Pending
https://ark-fid.ch/en/ressources/articles/constitution-societe-geneve-etapes-actualisees-2025-solutions-pme-independants/,2026-02-05,Pending
https://ark-fid.ch/fr/team/celeste-leal/,2026-02-04,Pending
https://ark-fid.ch/en/ressources/articles/roles-et-responsabilites-administrateurs-sa-sarl-geneve-2025/,2026-02-03,Pending
https://ark-fid.ch/pt/ressources/articles/outsourcing-administratif-pme-geneve-solutions-avantages-2025/,2026-02-03,Pending
https://ark-fid.ch/en/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/opengraph-image,2026-01-30,Pending
https://ark-fid.ch/de/ressources/articles/odoo-18-nouveautes-comptabilite-suisse-2025/,2026-01-29,Pending
https://ark-fid.ch/fr/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/opengraph-image,2026-01-28,Pending
https://ark-fid.ch/pt/ressources/articles/annual-vat-settlement-2025/,2026-01-27,Pending
https://ark-fid.ch/pt/ressources/articles/impacts-tva-2025-geneve-pme/,2026-01-27,Pending
https://ark-fid.ch/es/ressources/articles/regles-pv-assemblee-generale-suisse-2026-guide-pratique-pme-independants/opengraph-image,2026-01-25,Pending
https://ark-fid.ch/de/ressources/articles/regles-pv-assemblee-generale-suisse-2026-guide-pratique-pme-independants/opengraph-image,2026-01-24,Pending
https://ark-fid.ch/de/ressources/articles/digitalisation-comptabilite-obligations-pme-geneve-conformite-2025/,2026-01-21,Pending
https://ark-fid.ch/de/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/opengraph-image,2026-01-16,Pending
https://ark-fid.ch/en/ressources/articles/audit-de-conformite-tva-geneve-pme-points-cles-processus-2025/opengraph-image,2026-01-16,Pending
https://ark-fid.ch/de/ressources/articles/declarations-fiscales-independants-pme-erreurs-recurrentes-et-optimisations-geneve-vaud-2026-guide-pratique/opengraph-image,2026-01-15,Pending
https://ark-fid.ch/de/ressources/articles/optimisation-fiscale-geneve-fin-2025/,2026-01-15,Pending
https://ark-fid.ch/pt/ressources/articles/anticiper-tva-geneve-fin-2025-preparer-2026/,2026-01-15,Pending
https://ark-fid.ch/en/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/opengraph-image,2026-01-15,Pending
https://ark-fid.ch/de/ressources/articles/optimisation-charges-sociales-suisse-romande-guide-independants-pme-2025/opengraph-image,2026-01-14,Pending
https://ark-fid.ch/es/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/opengraph-image,2026-01-14,Pending
https://ark-fid.ch/fr/ressources/articles/gestion-paie-independants-pme-erreurs-courantes-optimisations-2026/opengraph-image,2026-01-14,Pending
https://ark-fid.ch/es/ressources/articles/proces-verbal-assemblee-generale-obligations-redaction-suisse-2025/opengraph-image,2026-01-14,Pending
https://ark-fid.ch/es/ressources/articles/odoo-18-nouveautes-comptabilite-suisse-2025/,2026-01-14,Pending
https://ark-fid.ch/pt/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/opengraph-image,2026-01-13,Pending
https://ark-fid.ch/fr/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/opengraph-image,2026-01-12,Pending
https://ark-fid.ch/fr/ressources/articles/swissdec-5-0-et-salaires-geneve-2025-points-cles/opengraph-image,2026-01-10,Pending
https://ark-fid.ch/es/ressources/articles/declarations-fiscales-pme-geneve-vaud-2025-erreurs-pieges-conseils/opengraph-image,2026-01-09,Pending
https://ark-fid.ch/pt/ressources/articles/erreurs-courantes-et-optimisations-legales-lors-du-changement-de-canton-pour-les-pme-et-independants-en-suisse-2025/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/fr/ressources/articles/erreurs-courantes-et-optimisations-legales-lors-du-changement-de-canton-pour-les-pme-et-independants-en-suisse-2025/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/pt/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/fr/ressources/articles/outsourcing-administratif-pme-geneve-solutions-avantages-2025/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/en/ressources/articles/swissdec-5-0-et-salaires-geneve-2025-points-cles/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/en/ressources/articles/beps-2-0-impacts-pme-suisse-nouvelles-obligations-fiscales/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/de/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/es/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/opengraph-image,2026-01-08,Pending
https://ark-fid.ch/assets/hero/services/taxes-hero.optimized.avif,2026-01-08,Pending
https://ark-fid.ch/en/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/opengraph-image,2026-01-07,Pending
https://ark-fid.ch/fr/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/opengraph-image,2026-01-07,Pending
https://ark-fid.ch/en/ressources/articles/odoo-18-nouveautes-pour-gestion-comptable-et-paie-geneve-2025/,2026-01-07,Pending
https://ark-fid.ch/es/ressources/articles/optimisation-charges-sociales-suisse-romande-guide-independants-pme-2025/opengraph-image,2026-01-06,Pending
https://ark-fid.ch/en/ressources/articles/optimisation-charges-sociales-suisse-romande-guide-independants-pme-2025/opengraph-image,2026-01-06,Pending
https://ark-fid.ch/services/[accounting](/services/accounting)/,2026-01-05,Pending
